Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
3,43,23,8,23,14,23,6,12,1,2,2,3,2.4,56,27.8,18.9,12.9,8.4,8,5.4,9.5,19,29
4,49,23,10,31,20,24,8,7,2,2,1,2,2.5,68.5,35.3,22.2,16.3,10.2,10.8,7.4,12.3,25.2,37.4
4,46,25,11,33,20,24,7,8,2,2,1,1,2.2,70,39,23.8,16.4,10.2,10.6,7.5,11.4,25.5,40.5
4,49,24,10,31,18,24,6,6,1,2,1,1,2.9,71.5,37,24.1,17,11,9.5,7.2,12.8,27.4,40.4
3,42,24,9,25,14,25,7,10,1,2,1,3,3,60,31.8,20.9,13.2,8.5,8.1,5.8,9.9,20.7,31.4
3,44,23,8,19,15,25,6,10,1,1,2,4,2.8,53,31.9,17.9,12.9,8.6,7.4,5.2,10.1,20.7,28.7
3,44,24,9,23,15,25,5,11,2,2,2,2,2.5,55.5,29.9,19.5,12.2,8.4,7.3,5.5,9.5,20.2,30.7
3,45,23,9,24,16,23,4,11,1,2,3,4,3,56.5,30.9,18,12.6,8.3,7.7,5.2,10,20.4,30.5
4,49,26,11,29,17,26,7,3,1,2,3,1,2.6,70,38.3,24,15.9,10.4,9.7,7,11.2,25.5,38.9
3,43,24,9,23,14,26,7,10,1,2,3,4,3,57.5,31.8,19.8,13,8.7,7,5.4,10.2,20,31.5
4,45,24,10,30,19,25,6,5,2,1,1,1,2.8,61.5,34.6,20.6,14.4,9.5,8.7,6.3,10.7,22.9,34.7
3,44,22,9,23,14,26,5,12,1,2,3,3,2.5,56,31.5,20.3,12.4,9,7.7,5.5,10.7,21.1,33.4
4,52,24,8,30,21,24,7,6,2,3,1,1,2.8,59,31.7,20.4,13.7,8.8,8.4,6,10,24.2,35.2
3,48,24,8,27,17,27,6,13,1,1,3,1,2.6,57,30.3,20,13.2,8.7,7.7,5.5,10.6,21.7,31
3,46,22,7,23,15,26,6,9,1,2,3,3,2.6,57,29,19.3,13.1,8.7,7.5,5.4,10.5,20,28.8
3,48,24,9,22,14,26,6,11,1,2,2,1,2.9,57,32,18.7,12.5,8.7,7.1,5.6,10.3,19.6,30.3
3,48,25,7,21,15,23,5,9,2,2,2,4,2.7,55.5,30,18.3,12.2,8.2,7,5.1,9.2,20,30.2
3,46,22,8,24,15,26,7,10,1,3,3,3,3,53.5,28,18.8,12.4,18.6,7.4,5.2,9.1,18.5,30.2
3,45,23,9,24,16,24,7,10,1,2,3,4,2.2,57.5,30.9,20.3,13,8.7,7.5,5.8,10,20.2,30.5
3,48,24,9,23,17,24,7,12,2,2,2,2,2.8,48.5,27.8,16.5,11.1,7.7,6.8,4.8,8.8,17.8,26.8
4,47,23,9,32,21,25,6,5,1,2,1,1,2.1,71.5,35,24.7,17,10.7,11.4,7.6,11.9,25.7,41.1
4,49,24,9,31,19,25,6,2,1,2,1,1,2.5,72,39.5,24.4,17.3,10.7,10.6,7.9,12.5,26.3,38.5
4,45,24,10,28,18,23,6,5,1,2,1,1,2.5,72.5,32.8,24.3,16.3,10.3,11.4,7.4,12.6,24,37.7
4,52,24,10,29,20,25,6,3,1,2,1,1,2.5,63,32.5,20.9,14.2,9.1,9.5,6.4,10.1,22.9,35.4
3,51,24,8,26,16,23,5,7,1,0,2,3,2.9,61,32.2,18.8,13.4,8.6,9.3,6,9.7,19,30.7
3,48,23,8,26,17,26,6,11,1,2,2,4,2.6,56.5,29.6,19,13,8.7,8.5,5.9,7.9,19.2,31.6
3,44,24,9,23,13,26,6,9,2,2,2,4,3,60,32.5,19.8,13.5,8.6,8.3,6.3,9.1,20.2,30.7
3,42,23,8,22,15,24,6,8,1,1,2,5,2.8,57,29.2,19.9,13.1,8.9,9,6,9.6,19.8,31
3,43,24,7,21,14,24,7,7,1,1,2,2,2.8,58,27.9,18.8,12.5,8.3,8.7,5.8,8.5,19.2,31
3,44,23,7,21,15,27,7,9,1,1,2,4,2.4,50,28.6,18.5,12.4,8.3,8.5,5.4,8,19.5,31.2
3,45,21,7,24,17,30,7,10,2,2,2,5,3,50,24.7,18.2,11.8,7.8,7.9,5.3,8.7,20.3,30.5
3,45,23,7,23,16,26,5,6,1,4,2,4,2.6,49,25.9,17.9,11.3,7.6,7.4,5.1,8.4,17.6,27.7
3,43,25,8,20,14,23,7,12,0,0,2,4,2.9,51,26.6,18.4,12.1,8,8,5.7,8,17.4,28.5
4,51,26,8,31,19,25,8,6,1,2,1,1,2.6,72.5,32.5,24.4,17,10.7,10.9,7.8,11.9,25.6,38.5
3,44,25,9,21,15,27,5,9,1,1,2,4,2.6,60,29.7,19.4,13.4,9,9.5,6.3,9,20,32
4,47,23,9,31,21,24,7,4,2,2,1,1,2.7,58.5,27.4,20.1,13.6,8.4,8.6,6,9.6,22.6,34.1
3,43,24,7,23,16,26,6,12,2,3,3,2,2.7,52,27.6,18.8,12.3,7.8,7.9,5.6,8,18.3,31.5
3,45,23,7,21,16,26,6,7,1,2,2,3,3,57.5,30.6,19.8,13,8.7,8.5,6,9,20.2,31.8
3,45,24,8,23,15,25,6,12,2,2,3,3,3,54,30.8,18.7,12.3,8.3,7.7,5.4,9.5,21,30
3,40,23,7,21,16,24,6,10,1,1,2,4,2.4,55,32.8,20.2,13.1,8.7,7.3,5.3,9.8,20.7,30.5
3,45,25,8,23,15,26,7,12,2,1,3,4,2.7,59,31.3,19.3,13.4,8.9,7.4,5.4,10.7,20.5,31.6
3,44,23,8,23,18,25,6,10,2,2,3,4,2,51,27.1,17.9,12.1,7.9,6.8,4.9,9.7,18.3,27.7
3,43,22,8,22,14,26,7,9,1,2,2,3,3,52,29.1,16.9,12,7.9,7.5,5.2,9.3,20.2,29.3
3,48,24,8,23,16,25,6,10,1,1,3,3,2.9,51,25.2,18.2,11.9,7.8,7,4.8,9.5,19.8,29.2
3,42,23,8,22,17,25,4,11,1,1,3,4,2.9,51,28.5,17.1,11.8,7.8,6.7,5,9.6,18.8,29.9
4,50,24,11,30,20,20,6,7,2,2,1,1,2.2,71,33.5,24,16.7,10.6,11.3,8,12.6,24.3,35.2
4,48,23,12,28,18,25,6,7,1,3,1,1,2.6,67,37.8,22.3,15.9,10.1,11.5,8,10.9,19.3,38.3
4,46,24,8,30,19,23,6,4,1,2,1,1,2.6,54,27.6,19.5,12.9,8.3,8.3,6,9.5,19.1,33.2
4,47,24,8,31,18,24,5,4,1,1,1,1,2,65,35.4,21.2,15,9.4,10,7.1,10.3,24,37.5
