Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
4,47,26,9,30,17,23,6,3,1,2,2,3,2.2,67,37.3,21.6,14.1,9.2,9.3,6.8,9.3,20.4,32.3
4,49,25,8,29,18,22,7,4,2,2,1,1,2.5,69,43,22.1,14.8,9,9.7,6.3,9.8,22.4,35.2
3,40,26,9,19,15,26,7,7,1,1,2,2,2.5,61,36.2,18.5,12,8.1,7.6,5.6,8.3,19,28.9
3,40,26,6,22,15,23,6,10,1,2,2,3,2.6,55,30.1,16.6,11.5,7.3,7.2,4.8,7,19.1,28
5,41,23,5,18,8,25,5,3,0,2,3,1,2.4,53,29.7,16.2,10.4,6.8,6.5,5.3,7.3,17.1,23.9
3,43,25,6,22,18,25,5,10,1,1,3,3,2.8,61,38.3,18.4,12.1,7.9,7.9,5,8,18.7,28.5
3,45,26,7,24,15,27,5,9,1,2,2,2,3,55,31.7,30,16.9,11.4,7.3,5.2,17.1,18,26.8
3,44,26,8,23,15,23,5,7,2,2,3,4,2.7,60,35.7,18.1,12,7.3,7.9,5.5,9,17,25.4
3,43,25,5,24,15,27,4,10,1,1,2,2,2.5,57,32.2,18,11.8,7.9,7.4,5.3,7.9,16.7,27.4
4,49,27,8,30,20,25,7,5,2,1,1,1,2.7,62,32.9,20,13,7.8,8.5,5.6,8.7,21.7,32.6
5,41,25,7,21,9,22,5,0,0,0,2,1,2,51.5,30.8,15.2,10.4,6.9,7.2,5.1,7.3,17.6,24.6
3,40,24,7,20,13,26,6,10,1,1,3,2,2.9,56,31.8,19,11.3,7.3,7.5,4.8,7.9,17.8,26.3
3,43,25,9,24,16,27,6,9,1,2,2,1,2.5,56,31.4,17.4,11.5,7.3,7.4,5.3,7.9,18.3,27.2
3,44,25,9,19,13,26,6,10,1,2,3,1,2.1,58,33.9,17.8,12,7.6,7.8,5.4,8.5,18.2,27.4
5,41,23,6,20,8,24,6,6,1,2,3,3,2.6,50,25.8,17.3,10.6,6.7,7.2,5.4,8.3,18.2,25.8
5,37,25,5,18,9,20,6,3,1,3,2,3,2.7,58,33.9,16.6,11.1,7.2,7.4,5.8,7.6,17.2,24.4
5,34,23,5,17,8,22,5,2,0,2,2,1,2.6,56.5,32.8,17,11.1,7.3,7.4,5.6,7.8,17.8,24.7
4,47,25,10,29,21,25,7,6,2,2,1,1,2.4,60,32.6,18.9,12.3,7.6,8.4,5.5,20.6,31.5,39.3
4,49,26,9,30,18,26,6,6,1,3,2,1,2.8,51.5,27.4,18.4,11.4,7.2,8,5.3,8.2,20.1,28.9
3,41,25,8,22,15,24,6,11,1,1,2,3,2.6,48,27.3,16.6,10.8,7,6.6,5.2,7.7,17,26.8
3,42,25,11,21,14,25,6,11,2,2,3,3,2.1,58,34.4,18.2,12.3,7.8,7.8,6,8.2,18.6,27.4
4,47,26,10,30,18,22,6,3,1,2,2,1,2.9,53,26.7,16.9,12,7.2,7.3,4.8,8.3,18.6,29
